Term,UnitsName,UnitsTypeCV,UnitsAbbreviation,UnitsLink
newtonSeconds,Newton Seconds,Linear momentum,N-s,
planckMomentum,Planck Momentum,Linear momentum,,http://qudt.org/vocab/unit#PlanckMomentum
meterPerKelvin,Meter per Kelvin,Linear thermal expansion,,http://qudt.org/vocab/unit#MeterPerKelvin
centimeterPerHour,Centimeter per Hour,Linear velocity,cm/hr,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
centimeterPerSecond,Centimeter per Second,Linear velocity,,http://qudt.org/vocab/unit#CentimeterPerSecond; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
footPerHour,Foot per Hour,Linear velocity,ft/hr,http://qudt.org/vocab/unit#FootPerHour
footPerMinute,Foot per Minute,Linear velocity,ft/min,http://qudt.org/vocab/unit#FootPerMinute
footPerSecond,Foot per Second,Linear velocity,ft/s,http://qudt.org/vocab/unit#FootPerSecond; http://qwwebservices.usgs.gov/service-domains.html
inchPerDay,Inch per Day,Linear velocity,in/d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
inchPerHour,Inch per Hour,Linear velocity,in/hr,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
inchPerSecond,Inch per Second,Linear velocity,,http://qudt.org/vocab/unit#InchPerSecond
inchPerWeek,Inch per Week,Linear velocity,in/week,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilometerPerHour,Kilometer per Hour,Linear velocity,km/hr,http://qudt.org/vocab/unit#KilometerPerHour; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilometerPerSecond,Kilometer per Second,Linear velocity,km/s,http://qudt.org/vocab/unit#KilometerPerSecond
knot,Knot,Linear velocity,kn_i,http://qudt.org/vocab/unit#Knot; http://unitsofmeasure.org/ucum.html#para-34; http://www.unidata.ucar.edu/software/udunits/
"knot,British","Knot, British",Linear velocity,kn_br,http://unitsofmeasure.org/ucum.html#para-36
meterPerDay,Meter per Day,Linear velocity,m/d,http://environment.data.gov.au/def/unit/MeterPerDay
meterPerHour,Meter per Hour,Linear velocity,m/h,http://qudt.org/vocab/unit#MeterPerHour
meterPerMinute,Meter per Minute,Linear velocity,m/min,http://qudt.org/vocab/unit#MeterPerMinute
meterPerSecond,Meter per Second,Linear velocity,m/s,http://qudt.org/vocab/unit#MeterPerSecond; http://qwwebservices.usgs.gov/service-domains.html
milePerHour,Mile per Hour,Linear velocity,mph,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qudt.org/vocab/unit#MilePerHour
milePerMinute,Mile per Minute,Linear velocity,mi/min,http://qudt.org/vocab/unit#MilePerMinute
millimeterPerDay,Millimeter per Day,Linear velocity,mm/day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millimeterPerHour,Millimeter per Hour,Linear velocity,mm/hr,http://environment.data.gov.au/def/unit/MillimeterPerHour
millimeterPerSecond,Millimeter per Second,Linear velocity,mm/s,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
nauticalMilePerHour,Nautical Mile per Hour,Linear velocity,knot,http://qudt.org/vocab/unit#NauticalMilePerHour; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
nauticalMilePerMinute,Nautical Mile per Minute,Linear velocity,nmi/min,http://qudt.org/vocab/unit#NauticalMilePerMinute
apostilb,Apostilb,Luminance,,http://www.unidata.ucar.edu/software/udunits/
blondel,Blondel,Luminance,,http://www.unidata.ucar.edu/software/udunits/
candelaPerSquareInch,Candela per Square Inch,Luminance,cd/in^2,http://qudt.org/vocab/unit#CandelaPerSquareInch
candelaPerSquareMeter,Candela per Square Meter,Luminance,cd/m^2,http://qudt.org/vocab/unit#CandelaPerSquareMeter
footLambert,Foot Lambert,Luminance,ft-L,http://qudt.org/vocab/unit#FootLambert; http://www.unidata.ucar.edu/software/udunits/
lambert,Lambert,Luminance,Lmb,http://qudt.org/vocab/unit#Lambert; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-33http://www.unidata.ucar.edu/software/udunits/; https://en.wikipedia.org/wiki/Lambert_%28unit%29
nit,Nit,Luminance,nt,http://www.unidata.ucar.edu/software/udunits/
stilb,Stilb,Luminance,sb,http://qudt.org/vocab/unit#Stilb; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/
lumenPerWatt,Lumen per Watt,Luminous efficacy,,http://qudt.org/vocab/unit#LumenPerWatt
lumenSecond,Lumen Second,Luminous energy,lm s,http://qudt.org/vocab/unit#LumenSecond
lumen,Lumen,Luminous flux,lm,http://qudt.org/vocab/unit#Lumen; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
candela,Candela,Luminous intensity,cd,http://qudt.org/vocab/unit#Candela
candle,Candle,Luminous intensity,cd,http://qudt.org/vocab/unit#Candle
candlepower,Candlepower,Luminous intensity,cd,http://qudt.org/vocab/unit#Candlepower
electronvoltPerTesla,ElectronVolt per Tesla,Magnetic dipole moment,eV T^-1,http://qudt.org/vocab/unit#ElectronVoltPerTesla
joulePerTesla,Joule per Tesla,Magnetic dipole moment,J/T,http://qudt.org/vocab/unit#JoulePerTesla
amperePerMeter,Ampere per Meter,Magnetic field strength,A/m,http://qudt.org/vocab/unit#AmperePerMeter
ampereTurnPerInch,Ampere Turn per Inch,Magnetic field strength,At/in,http://qudt.org/vocab/unit#AmpereTurnPerInch
ampereTurnPerMeter,Ampere Turn per Meter,Magnetic field strength,At/m,http://qudt.org/vocab/unit#AmpereTurnPerMeter
oersted,Oersted,Magnetic field strength,Oe,http://qudt.org/vocab/unit#Oersted; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/
abvoltSecond,Abvolt Second,Magnetic flux,,http://qudt.org/vocab/unit#AbvoltSecond
maxwell,Maxwell,Magnetic flux,Mx,http://qudt.org/vocab/unit#Maxwell; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/
unitPole,Unit Pole,Magnetic flux,U/nWb,http://qudt.org/vocab/unit#UnitPole; http://www.unidata.ucar.edu/software/udunits/
weber,Weber,Magnetic flux,Wb,http://qudt.org/vocab/unit#Weber; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
abtesla,Abtesla,Magnetic flux density,,http://qudt.org/vocab/unit#Abtesla
gamma,Gamma,Magnetic flux density,gamma,http://qudt.org/vocab/unit#Gamma
gauss,Gauss,Magnetic flux density,G,http://qudt.org/vocab/unit#Gauss; http://unitsofmeasure.org/ucum.html#para-33
tesla,Tesla,Magnetic flux density,T,http://qudt.org/vocab/unit#Tesla; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
teslaMeter,Tesla Meter,Magnetic flux per length,m T,http://qudt.org/vocab/unit#TeslaMeter
henryPerMeter,Henry per Meter,Magnetic permeability,H/m,http://qudt.org/vocab/unit#HenryPerMeter
stathenryPerCentimeter,Stathenry per Centimeter,Magnetic permeability,,http://qudt.org/vocab/unit#StathenryPerCentimeter
ampereTurn,Ampere Turn,Magnetomotive force,At,http://qudt.org/vocab/unit#AmpereTurn
gilbert,Gilbert,Magnetomotive force,Gi; Gb,http://qudt.org/vocab/unit#Gilbert; http://unitsofmeasure.org/ucum.html#para-33
oerstedCentimeter,Oersted Centimeter,Magnetomotive force,Oe-cm,http://qudt.org/vocab/unit#OerstedCentimeter
"ounce,UsApothecary","Ounce, US Apothecary",Mass,oz_ap,http://unitsofmeasure.org/ucum.html#para-41; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
pennyweight,Pennyweight,Mass,pwt_tr,http://qudt.org/vocab/unit#PennyWeight; http://unitsofmeasure.org/ucum.html#para-40; http://www.unidata.ucar.edu/software/udunits/
picogram,Picogram,Mass,pg,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
planckMass,Planck Mass,Mass,,http://qudt.org/vocab/unit#PlanckMass
pound,Pound,Mass,lb_av,http://unitsofmeasure.org/ucum.html#para-39; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qudt.org/vocab/unit#PoundMass; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
"pound,Troy","Pound, Troy",Mass,lb_tr,http://qudt.org/vocab/unit#PoundTroy; http://unitsofmeasure.org/ucum.html#para-40; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"pound,UsApothecary","Pound, US Apothecary",Mass,lb_ap,http://unitsofmeasure.org/ucum.html#para-41; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
scruple,Scruple,Mass,sc_ap,http://unitsofmeasure.org/ucum.html#para-41; http://www.unidata.ucar.edu/software/udunits/
shortHundredweight,Short Hundredweight,Mass,scwt_av,http://unitsofmeasure.org/ucum.html#para-39; http://www.unidata.ucar.edu/software/udunits/
shortTon,Short Ton,Mass,ston_av,http://unitsofmeasure.org/ucum.html#para-39; http://www.unidata.ucar.edu/software/udunits/; http://qudt.org/vocab/unit#TonShort
slug,Slug,Mass,slug,http://qudt.org/vocab/unit#Slug; http://www.unidata.ucar.edu/software/udunits/
stone,Stone,Mass,stone_av,http://unitsofmeasure.org/ucum.html#para-39
tonne,Tonne,Mass,t,http://unitsofmeasure.org/ucum.html#para-31; http://qudt.org/vocab/unit#TonMetric; http://qudt.org/vocab/unit#MetricTon; http://www.unidata.ucar.edu/software/udunits/
unifiedAtomicMassUnit,Unified Atomic Mass Unit,Mass,u,http://qudt.org/vocab/unit#UnifiedAtomicMassUnit; http://unitsofmeasure.org/ucum.html#para-31; http://www.unidata.ucar.edu/software/udunits/
assayTon,Assay Ton,Mass,AT,http://qudt.org/vocab/unit#TonAssay; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
atomicMassUnit,Atomic Mass Unit,Mass,amu,http://qudt.org/vocab/unit#AtomicMassUnit
bag,Bag,Mass,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
carat,Carat,Mass,car_m,"http://qudt.org/vocab/unit#Carat, http://unitsofmeasure.org/ucum.html#para-47"
dalton,Dalton,Mass,Da,http://qudt.org/vocab/unit#Dalton
drachm,Drachm,Mass,dr_ap,http://unitsofmeasure.org/ucum.html#para-41; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"dram,Avoirdupois","Dram, Avoirdupois",Mass,dr_av,http://unitsofmeasure.org/ucum.html#para-39
grain,Grain,Mass,gr,http://qudt.org/vocab/unit#Grain; http://unitsofmeasure.org/ucum.html#para-39
gram,Gram,Mass,g,http://qudt.org/vocab/unit#Gram; http://unitsofmeasure.org/ucum.html#para-28
kilogram,Kilogram,Mass,kg,http://qudt.org/vocab/unit#Kilogram; http://www.unidata.ucar.edu/software/udunits/
longHundredweight,Long Hundredweight,Mass,lcwt_av,http://unitsofmeasure.org/ucum.html#para-39; http://www.unidata.ucar.edu/software/udunits/; http://qudt.org/vocab/unit#HundredWeightLong
longTon,Long Ton,Mass,lton_av,http://unitsofmeasure.org/ucum.html#para-39; http://www.unidata.ucar.edu/software/udunits/; http://qudt.org/vocab/unit#TonLong
metricTon,Metric Ton,Mass,mT,http://qudt.org/vocab/unit#MetricTon; http://www.unidata.ucar.edu/software/udunits/
microgram,Microgram,Mass,µg,http://environment.data.gov.au/def/unit/Microgram; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milligram,Milligram,Mass,mg,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
nanogram,Nanogram,Mass,ng,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
"ounce,Avoirdupois","Ounce, Avoirdupois",Mass,oz_av,http://qudt.org/vocab/unit#OunceMass; http://unitsofmeasure.org/ucum.html#para-39; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
"ounce,Metric","Ounce, Metric",Mass,oz_m,http://unitsofmeasure.org/ucum.html#para-41
"ounce,Troy","Ounce, Troy",Mass,oz_tr,http://qudt.org/vocab/unit#OunceTroy; http://unitsofmeasure.org/ucum.html#para-40; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
kilogramMole,Kilogram Mole,Mass count,kg-mol,
poundMole,Pound Mole,Mass count,lb-mol,http://qudt.org/vocab/unit#PoundMole
kilogramMoleKelvin,Kilogram Mole Kelvin,Mass count temperature,kg-mol-K,
poundMoleDegreeFahrenheit,Pound Mole Degree Fahrenheit,Mass count temperature,lb-mol-degF,http://qudt.org/vocab/unit#PoundMoleDegreeFahrenheit
gramPerSquareMeterPerDay,Gram per Square Meter per Day,Mass flux,g/m2/day,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
gramPerSquareMeterPerHour,Gram per Square Meter per Hour,Mass flux,g/m^2 hr,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilogramPerHectarePerDay,Kilogram per Hectare per Day,Mass flux,kg/ha d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilogramPerSquareMeterPerSecond,Kilogram per Square Meter per Second,Mass flux,kg/m^2/s,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milligramPerSquareMeterPerDay,Milligram per Square Meter per Day,Mass flux,mg/m^2 d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
milligramPerSquareMeterPerSecond,Milligram per Square Meter per Second,Mass flux,mg/m^2/s,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
nanogramPerSquareMeterPerHour,Nanogram per Square Meter per Hour,Mass flux,ng/m^2 hr,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nanogramPerSquareMeterPerWeek,Nanogram per Square Meter per Week,Mass flux,ng/m^2 week,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
caratOfGoldAlloys,Carat of Gold Alloys,Mass fraction,car_Au,http://unitsofmeasure.org/ucum.html#para-47
femtogramPerKilogram,Femtogram per Kilogram,Mass fraction,fg/kg,
gramPercent,Gram percent,Mass fraction,g%,http://unitsofmeasure.org/ucum.html#para-45
gramPerKilogram,Gram per Kilogram,Mass fraction,g/kg,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
microgramPerGram,Microgram per Gram,Mass fraction,µg/g,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
microgramPerKilogram,Microgram per Kilogram,Mass fraction,µg/kg,http://environment.data.gov.au/def/unit/MicrogramsPerKilogram; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
microgramPerMilligram,Microgram per Milligram,Mass fraction,µg/mg,http://qwwebservices.usgs.gov/service-domains.html
milligramPerKilogram,Milligram per Kilogram,Mass fraction,mg/kg,http://environment.data.gov.au/def/unit/MilligramsPerKilogram; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nanogramPerGram,Nanogram per Gram,Mass fraction,ng/g,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nanogramPerKilogram,Nanogram per Kilogram,Mass fraction,ng/kg,
percentByWeight,Percent by Weight,Mass fraction,% by wt,http://qwwebservices.usgs.gov/service-domains.html
picogramPerGram,Picogram per Gram,Mass fraction,pg/g,http://qwwebservices.usgs.gov/service-domains.html
picogramPerKilogram,Picogram per Kilogram,Mass fraction,pg/kg,http://qwwebservices.usgs.gov/service-domains.html
tonPerKiloton,Ton per Kiloton,Mass fraction,tCaCO3/Kt,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
nanomolePerMinutePerMilligram,Nanomole per Minute per Milligram,Mass normalized particle loading,nmol/min mg,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
picomolePerMinutePerMilligram,Picomole per Minute per Milligram,Mass normalized particle loading,pmol/min mg,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
superoxideDismutaseUnitPerMinutePerMilligram,Superoxide Dismutase Unit per Minute per Milligram,Mass normalized particle loading,U/min mg,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gramPer0.1SquareMeter,Gram per 0.1 Square Meter,Mass per area,g/0.1 m^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gramPerSquareMeter,Gram per Square Meter,Mass per area,g/m2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
kilogramPer1000SquareMeter,Kilogram per 1000 Square Meter,Mass per area,kg/1000 m^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilogramPerHectare,Kilogram per Hectare,Mass per area,kg/ha,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://environment.data.gov.au/def/unit/KilogramsPerHectare
kilogramPerSquareMeter,Kilogram per Square Meter,Mass per area,kg/m^2,http://qudt.org/vocab/unit#KilogramPerSquareMeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
microgramPerSquareMeter,Microgram per Square Meter,Mass per area,µg/m^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
milligramPerSquareMeter,Milligram per Square Meter,Mass per area,mg/m^2,http://environment.data.gov.au/def/unit/MilligramsPerSquareMeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
ouncePerSquareFoot,Ounce per Square Foot,Mass per area,oz/ft^2,http://qudt.org/vocab/unit#OuncePerSquareFoot
ouncePerSquareYard,Ounce per Square Yard,Mass per area,oz/yd^2,http://qudt.org/vocab/unit#OuncePerSquareYard
poundPerSquareFoot,Pound per Square Foot,Mass per area,lb/ft^2,http://qudt.org/vocab/unit#PoundPerSquareFoot
slugPerSquareFoot,Slug per Square Foot,Mass per area,slug/ft^2,http://qudt.org/vocab/unit#SlugPerSquareFoot
tonnesPerHectare,Tonnes per Hectare,Mass per area,t/ha,http://environment.data.gov.au/def/unit/TonnesPerHectare
teslaSecond,Tesla Second,Mass per electrical charge,s T,http://qudt.org/vocab/unit#TeslaSecond
denier,Denier,Mass per length,den,http://qudt.org/vocab/unit#Denier
kilogramPerMeter,Kilogram per Meter,Mass per length,kg/m,http://qudt.org/vocab/unit#KilogramPerMeter
poundPerFoot,Pound per Foot,Mass per length,lb/ft,http://qudt.org/vocab/unit#PoundPerFoot
poundPerInch,Pound per Inch,Mass per length,lb/in,http://qudt.org/vocab/unit#PoundPerInch
poundPerMile,Pound per Mile,Mass per length,lb/mi,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
slugPerFoot,Slug per Foot,Mass per length,slug/ft,http://qudt.org/vocab/unit#SlugPerFoot
tex,Tex,Mass per length,tex,http://qudt.org/vocab/unit#Tex; http://unitsofmeasure.org/ucum.html#para-43; http://www.unidata.ucar.edu/software/udunits/
gramPerDay,Gram per Day,Mass per time,g/d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
gramPerMinute,Gram per Minute,Mass per time,g/min,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gramPerSecond,Gram per Second,Mass per time,g/s,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilogramPerHour,Kilogram per Hour,Mass per time,kg/h,http://qudt.org/vocab/unit#KilogramPerHour
kilogramPerMonth,Kilogram per Month,Mass per time,kg/month,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilogramPerSecond,Kilogram per Second,Mass per time,kg/s,http://qudt.org/vocab/unit#KilogramPerSecond
metricTonPerDay,Metric ton per day,Mass per time,tonne/day,
metricTonPerSecond,Metric ton per Second,Mass per time,tonne/s,
milligramPerDay,Milligram per Day,Mass per time,mg/d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
poundPerDay,Pound per Day,Mass per time,lb/d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
poundPerHour,Pound per Hour,Mass per time,lb/hr,http://qudt.org/vocab/unit#PoundPerHour
poundPerMinute,Pound per Minute,Mass per time,lb/min,http://qudt.org/vocab/unit#PoundPerMinute
shortTonPerDay,Short Ton per Day,Mass per time,ton/d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
shortTonPerHour,Short Ton per Hour,Mass per time,ton/hr,http://qudt.org/vocab/unit#TonShortPerHour
shortTonPerMonth,Short Ton per Month,Mass per time,ton/month,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
slugPerSecond,Slug per Second,Mass per time,slug/s,http://qudt.org/vocab/unit#SlugPerSecond
gramDegreeCelsius,Gram Degree Celsius,Mass temperature,g-degC,http://qudt.org/vocab/unit#GramDegreeCelsius
kilogramKelvin,Kilogram Kelvin,Mass temperature,kg-K,http://qudt.org/vocab/unit#KilogramKelvin
poundDegreeFahrenheit,Pound Degree Fahrenheit,Mass temperature,lb-degF,http://qudt.org/vocab/unit#PoundDegreeFahrenheit
poundDegreeRankine,Pound Degree Rankine,Mass temperature,lb-degR,http://qudt.org/vocab/unit#PoundDegreeRankine
jouleSecondPerMole,Joule Second per Mole,Molar angular momentum,J s mol^-1,http://qudt.org/vocab/unit#JouleSecondPerMole
siemensSquareMeterPerMole,Siemens Square Meter per Mole,Molar conductivity,Sm^2/mol,
btuPerPoundMole,BTU per Pound Mole,Molar energy,Btu/(lb-mol),http://qudt.org/vocab/unit#BtuPerPoundMole
joulePerMole,Joule per Mole,Molar energy,J/mol,http://qudt.org/vocab/unit#JoulePerMole
kilocaloriePerMole,Kilocalorie per Mole,Molar energy,kcal/mol,http://qudt.org/vocab/unit#KilocaloriePerMole
btuPerPoundMoleDegreeFahrenheit,Btu per Pound Mole Degree Fahrenheit,Molar heat capacity,Btu/(lb-mol-degF),http://qudt.org/vocab/unit#BtuPerPoundMoleDegreeFahrenheit
joulePerMoleKelvin,Joule per Mole Kelvin,Molar heat capacity,J/(mol-K),http://qudt.org/vocab/unit#JoulePerMoleKelvin
kilocaloriePerMoleDegreeCelsius,Kilocalorie per Mole Degree Celsius,Molar heat capacity,kcal/(mol-degC),http://qudt.org/vocab/unit#KilocaloriePerMoleDegreeCelsius
kilogramPerMole,Kilogram per Mole,Molar mass,kg mol^-1,http://qudt.org/vocab/unit#KilogramPerMole
cubicMeterPerMole,Cubic Meter per Mole,Molar volume,m^3 mol^-1,http://qudt.org/vocab/unit#CubicMeterPerMole
degreeCelsiusMillimolePerCubicMeter,Degree Celsius Millimole per Cubic Meter,Other,DegC mmol/m^3,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilogramSecondSquared,Kilogram Second Squared,Other,,http://qudt.org/vocab/unit#KilogramSecondSquared
meterPerSecondDegreeCelsius,Meter per Second Degree Celsius,Other,m/s DegC,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
micromolePerLiterPerHour,Micromole per Liter per Hour,Other,µmol/L hr,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milligramPerCubicMeterSquared,Milligram per Cubic Meter Squared,Other,(mg/m^3)^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milliliterPerLiterPerHour,Milliliter per Liter per Hour,Other,mL/L/hr,http://qwwebservices.usgs.gov/service-domains.html
millimolePerCubicMeterSquared,Millimole per Cubic Meter Squared,Other,(mmol/m^3)^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
shortTonPerDayPerFoot,Short Ton per Day per Foot,Other,ton/d/ft,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
squaredDegreeCelsius,Squared Degree Celsius,Other,(DegC)^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
microeinsteinPerSquareMeterPerDay,Microeinstein per Square Meter per Day,Particle flux,uE/m^2 d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
microeinsteinPerSquareMeterPerSecond,Microeinstein per Square Meter per Second,Particle flux,uE/m^2 s,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
micromolePerSquareMeterPerSecond,Micromole per Square Meter per Second,Particle flux,µmol/m^2 s,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://environment.data.gov.au/def/unit/MicroMolPerSecondPerMetreSquared; http://qwwebservices.usgs.gov/service-domains.html
millimolePerSquareMeterPerDay,Millimole per Square Meter per Day,Particle flux,mmol/m^2 d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millimolePerSquareMeterPerHour,Millimole per Square Meter per Hour,Particle flux,mmol/m^2 hr,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millimolePerSquareMeterPerSecond,Millimole per Square Meter per Second,Particle flux,mmol/m^2 s,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
ph,pH,pH,pH,"http://environment.data.gov.au/def/unit/pH"";""http://environment.data.gov.au/def/unit/pH; http://unitsofmeasure.org/ucum.html#para-45"
squareCoulombMeterPerJoule,Square Coulomb Meter per Joule,Polarizability,C^2 m^2 J^-1,http://qudt.org/vocab/unit#SquareCoulombMeterPerJoule
potentialVorticityUnit,Potential Vorticity Unit,Potential vorticity,,http://www.unidata.ucar.edu/software/udunits/
btuPerHour,Btu per Hour,Power,Btu/hr,http://qudt.org/vocab/unit#BtuPerHour
btuPerSecond,Btu per Second,Power,Btu/s,http://qudt.org/vocab/unit#BtuPerSecond
ergPerSecond,Erg per Second,Power,erg/s,http://qudt.org/vocab/unit#ErgPerSecond
footPoundForcePerHour,Foot Pound Force per Hour,Power,ft-lbf/hr,http://qudt.org/vocab/unit#FootPoundForcePerHour
